name,address,city,state,zip,phone,has_website,website_url,google_rating,review_count,trade,status,notes,last_contacted
"Rewired Iowa Electrician Des Moines","2612 E 48th St, Des Moines, IA 50317, USA","Des Moines","IA","50317","(515) 619-5349","YES","https://rewirediowa.com/","4.9","554","electrician","NEW","",""
"Custom Electrical Services","1975 NW 92nd Ct #15, Clive, IA 50325, USA","Clive","IA","50325","(515) 669-3418","YES","https://www.customelectricalia.com/","4.8","1397","electrician","NEW","",""
"Mr. Electric of Central Iowa","2759 86th St Ste 110, Urbandale, IA 50322, USA","Urbandale","IA","50322","(515) 650-9233","YES","https://mrelectric.com/central-iowa?utm_source=localfx&utm_medium=organic&utm_campaign=localfx","4.9","932","electrician","NEW","",""
"WIREONE Electric - Des Moines","1425 Metro E Dr, Pleasant Hill, IA 50327, USA","Pleasant Hill","IA","50327","(515) 421-9011","YES","https://www.wireoneelectric.com/areas/greater-des-moines-area/","4.7","2156","electrician","NEW","",""
"Integra Electrical Residential Electrician","215 N Buxton St, Indianola, IA 50125, USA","Indianola","IA","50125","(515) 200-2034","YES","https://www.integraelectrical.co/","4.9","1438","electrician","NEW","",""
"Tri-City Electric Co.","1821 Ingersoll Ave, Des Moines, IA 50309, USA","Des Moines","IA","50309","(515) 288-7181","YES","http://www.tricityelectric.com/","4.3","21","electrician","NEW","",""
"Arc Electric","3301 SE Destination Dr Suite 100, Grimes, IA 50111, USA","Grimes","IA","50111","(515) 721-6258","YES","https://www.arcelectric.co/","4.9","462","electrician","NEW","",""
"Mid Iowa Electric Inc","33263 Ute Ave, Waukee, IA 50263, USA","Waukee","IA","50263","(515) 528-9886","NO","","5","33","electrician","NEW","",""
"Lux Electric","9415 Hammontree Dr, Urbandale, IA 50322, USA","Urbandale","IA","50322","(515) 988-1593","YES","https://luxdsm.com/","4.9","55","electrician","NEW","",""
"Deaver Electric Inc.","2800 SE Destination Dr suite f, Grimes, IA 50111, USA","Grimes","IA","50111","(515) 202-9481","YES","http://deaverelectricinc.com/","4.9","503","electrician","NEW","",""
"A-1 Electric","1501 Evans St, Des Moines, IA 50315, USA","Des Moines","IA","50315","(515) 287-2383","YES","http://www.desmoinesbestelectrician.net/","4.7","35","electrician","NEW","",""
"Commonwealth Electric Company of the Midwest","1530 2nd Ave, Des Moines, IA 50314, USA","Des Moines","IA","50314","(515) 288-5783","YES","https://commonwealthelectric.com/des-moines","4.7","20","electrician","NEW","",""
